id,name,host_id,host_name,host_since,host_is_superhost,calculated_host_listings_count,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,availability_365,minimum_nights,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,col_31,col_32,col_33,col_34
1583339,heart of historic east nashville, Walk Everywhere!,1567001,Amy,1/4/12,t,4,t,t,11,District 6,36.17833,-86.74426,357,2,Entire home/apt,6,2.5 baths,3,NA,"",79,0.6,4.89,4.77,4.6,4.99,4.96,4.91,4.73,,,
1583557,entire upstairs-2 bedroom private/owner downstairs,1567001,Amy,1/4/12,t,4,t,t,11,District 6,36.17833,-86.74426,172,30,Entire home/apt,4,1.5 baths,2,2,$160.00 ,121,0.92,4.84,4.83,4.82,4.93,4.98,4.93,4.76,,,,
1587240,charismatic room in east nashville,1567001,Amy,1/4/12,t,4,t,t,11,District 6,36.17868,-86.74394,0,30,Private room,2,1.5 baths,NA,NA,"",133,1.02,4.93,4.95,4.92,4.98,4.98,4.96,4.94,,,,
1625117,cozy/cute/very safe treetop apt-no pet fee,8382752,Bobby,8/25/13,f,1,t,t,1,District 7,36.23198,-86.71693,331,1,Entire home/apt,6,1 bath,1,2,$92.00 ,351,2.83,4.26,4.46,4.1,4.84,4.8,4.66,4.34,,,,
1640655,southern hospitality - with 2 rooms! private bath!,6154341,Ann,4/29/13,f,1,t,t,1,District 17,36.12397,-86.78047,363,4,Private room,2,1 bath,2,1,$90.00 ,149,1.14,4.9,4.95,4.9,5,4.99,4.84,4.92,,,,
1661560,east nash tucked away, retro, killer porch, view!,8804227,Kelli Katrice,9/12/13,f,1,t,t,1,District 6,36.17622,-86.73512,217,1,Entire home/apt,6,1 bath,2,2,$183.00 ,132,1.02,4.91,4.92,4.95,4.95,4.96,4.9,4.88,
1793477,ryman retreat in east nashville,7509912,Sarah,7/15/13,"",1,t,t,2,District 7,36.1986999511719,-86.70629883,296,1,Entire home/apt,6,1 bath,1,3,$130.00 ,564,4.37,4.94,4.96,4.95,4.95,4.94,4.85,4.92,,,,
1840652,a downtown great getaway!,2066370,Lisa,4/3/12,t,1,t,t,10,District 21,36.1766319274902,-86.80799103,157,1,Entire home/apt,10,2 baths,3,6,$325.00 ,190,1.47,4.77,4.81,4.88,4.94,4.93,4.39,4.74,,,,
1951714,cheap vandy / downtown nashville crashpad,7720839,Michelle,7/25/13,f,1,t,t,4,District 17,36.14549,-86.78686,89,1,Shared room,3,1 bath,2,1,$500.00 ,7,0.05,4.86,4.86,4.86,5,5,4.86,5,,,,
1954040,vintage style eastside bungalow,8196681,Anita,8/16/13,t,1,t,t,1,District 7,36.20338,-86.7296,308,1,Private room,2,1 bath,1,1,$68.00 ,454,3.56,4.91,4.91,4.8,4.96,4.98,4.86,4.9,,,,
2083878,3min to dwtn!/2 bds, 1.5bths/Private Suite,10643952,Khira,12/15/13,t,2,t,t,2,District 19,36.17069,-86.79121,223,1,Entire home/apt,5,1.5 baths,2,2,$113.00 ,665,5.21,4.84,4.91,4.93,4.92,4.85,4.73,4.85,,,
2138177,rustic designer suite near city center,6521193,Terry And Piper,5/22/13,t,1,t,t,1,District 6,36.16107,-86.75256,121,1,Entire home/apt,4,1 bath,1,2,$140.00 ,467,3.7,4.97,4.97,4.98,4.98,4.96,4.68,4.9,,,,
2181743,take it easy at an urban cottage in east nashville/near dt,7073590,Brigitte,6/23/13,t,18,t,t,19,District 6,36.17035,-86.74017,325,1,Entire home/apt,10,2 baths,3,4,$253.00 ,647,5.27,4.94,4.96,4.96,4.96,4.97,4.95,4.88,,,,
2261942,charming room in hip east nashville,11550460,Jim,1/22/14,t,1,t,t,1,District 5,36.18269,-86.75301,280,2,Private room,2,1 bath,1,1,$82.00 ,738,5.96,4.92,4.94,4.8,4.98,4.97,4.9,4.91,,,,
2288174,gorgeous! 3 br in heart of nashville,11697248,Chloe,1/27/14,t,2,t,t,2,District 25,36.11209,-86.79666,10,3,Entire home/apt,6,2 baths,3,5,$350.00 ,1,0.01,5,5,5,5,5,5,5,,,,
2316288,2.5 miles from downtown two living spaces,7428690,Matt & Steph,7/11/13,t,3,t,t,3,District 6,36.18628,-86.74254,350,2,Entire home/apt,10,3 baths,3,5,$171.00 ,339,3.11,4.93,4.93,4.95,4.98,4.96,4.91,4.84,,,,
2372334,charismatic room in east nashville,1567001,Amy,1/4/12,t,4,t,t,11,District 6,36.17833,-86.74426,0,30,Private room,2,1 bath,NA,NA,"",49,0.39,4.96,4.94,4.92,5,4.98,4.94,4.88,,,,
2396505,luxe comfort in an artistic & historic home,12098481,Bryan,2/9/14,f,1,t,t,1,District 18,36.13541,-86.812656,266,3,Entire home/apt,8,3.5 baths,4,NA,"",88,0.71,4.99,5,5,4.98,5,4.97,4.8,,,,
2473234,room at eastland - your totally private space!,12649085,Val,2/27/14,t,1,t,t,1,District 6,36.18034,-86.72588,309,4,Entire home/apt,2,1 bath,1,1,$82.00 ,170,1.36,4.98,4.98,4.99,4.99,5,4.9,4.96,,,,
2479230,2br/1ba long-term furnished rental by vandy,2800334,Kristin,7/1/12,t,2,t,t,2,District 19,36.14377,-86.79486,326,30,Entire home/apt,4,1 bath,2,2,$105.00 ,101,0.83,4.96,4.98,4.89,4.98,4.96,4.89,4.88,,,,
2521338,beautiful affordable space * ladies only * ns,812128,Patricia And John,7/12/11,t,9,t,t,19,District 12,36.18934,-86.59118,180,30,Private room,1,1 bath,1,1,$35.00 ,3,0.03,4.67,4.33,3.67,5,5,5,4,,,,
2581896,live like a local in e. nashville, 260 5* Reviews,13221453,Christy,3/17/14,t,3,t,f,3,District 6,36.16922,-86.74108,185,1,Entire home/apt,4,1 bath,1,1,$109.00 ,274,2.2,4.94,4.97,4.96,4.97,4.98,4.92,4.91,,,
2666769,cottage at west end/vandy/hillsboro,457460890,Chloe,5/4/22,f,11,t,t,11,District 21,36.14705,-86.81845,314,1,Entire home/apt,4,1 bath,1,3,$129.00 ,766,6.42,4.96,4.96,4.98,4.97,4.98,4.95,4.92,,,,
2694882,e. nashville -close to everything, 265 5* Reviews,"",13221453,Christy,3/17/14,t,3,t,f,3,District 6,36.17032,-86.7408,178,1,Entire home/apt,4,1 bath,1,1,$117.00 ,289,2.32,4.95,4.94,4.94,4.98,5,4.9,4.89,,
2699594,broadway penthouse above live music & bars,1099118,Cal,9/1/11,t,1,t,t,1,District 19,36.16046,-86.77774,315,2,Entire home/apt,4,1.5 baths,1,2,$236.00 ,236,1.97,4.94,4.93,4.84,4.94,4.96,4.99,4.83,,,,
2710049,affordable extended stays,  OPEN NOW,22296,Diana,6/19/09,t,6,t,t,15,District 12,36.1631,-86.59044,325,30,Private room,1,1 bath,1,1,$34.00 ,11,0.09,4.73,4.64,4.55,4.6,4.6,4.6,4.7,,,
2726453,luxury living & perfect location walk to music row,2275056,Debbie,5/2/12,f,5,t,t,8,District 18,36.14077,-86.81479,3,2,Entire home/apt,6,2 baths,2,3,$249.00 ,236,1.96,4.75,4.76,4.76,4.91,4.83,4.91,4.79,,,,
2743820,east nashville, 2 Bedroom Bungalow,5443095,Brad,3/13/13,t,1,t,t,2,District 7,36.21896,-86.71519,263,30,Entire home/apt,4,1 bath,2,3,$100.00 ,93,0.76,4.75,4.8,4.84,4.9,4.92,4.71,4.78,,,
2802925,spa-like stay w/cold plunge minutes from downtown!,14336050,Rae,4/15/14,t,1,t,t,1,District 24,36.14704,-86.82269,206,2,Entire home/apt,4,1 bath,1,2,$148.00 ,20,1.45,5,4.95,5,5,5,4.95,4.85,,,,
2824336,downtown/hottub/music row/20 foot ceiling/gulch!.!,14448697,Che,4/18/14,f,14,t,t,14,District 19,36.14992,-86.78832,350,2,Entire home/apt,12,2 baths,3,NA,"",183,1.5,4.86,4.85,4.88,4.94,4.88,4.9,4.72,,,,
2906844,beautiful loft apt east nashville,6117864,Sara,4/27/13,t,1,t,f,1,District 6,36.17739,-86.74131,117,2,Entire home/apt,2,1 bath,0,2,$104.00 ,569,4.63,4.9,4.96,4.93,4.94,4.95,4.89,4.88,,,,
2908364,river view, Dock, Pool, Hot tub, CASR-201517041,14858294,Bill And Anne,4/28/14,t,1,t,t,1,District 15,36.22061,-86.70683,296,3,Entire home/apt,12,3 baths,4,8,$705.00 ,47,0.39,4.91,4.89,4.87,5,4.96,4.91,4.89
2909345,walkable in the nations - 10 min to broadway!,14863542,Sean And Kirsten,4/28/14,t,1,t,t,1,District 20,36.159898644709,-86.84270744,0,1,Entire home/apt,8,2 baths,3,4,$172.00 ,73,0.59,4.93,4.99,4.96,4.97,4.97,4.72,4.85,,,,
2931998,light-filled modern bungalow at musician's hideaway,5151272,Carly,2/19/13,f,1,t,f,1,District 6,36.17444,-86.73902,58,3,Entire home/apt,2,1 bath,1,1,$299.00 ,98,0.85,4.96,4.96,5,4.99,4.96,4.95,4.93,,,,
2950152,broadway, Vanderbilt, Belmont, Bridgestone Arena,15060012,William And Vicki,5/3/14,t,1,t,t,1,District 17,36.14251,-86.79137,255,1,Entire home/apt,9,1.5 baths,3,4,$225.00 ,914,7.75,4.81,4.93,4.67,4.96,4.96,4.96,4.84,
3021231,12 s house- 3 miles to downtown, charming nbrhd,15395208,Julie And Josh,5/11/14,t,1,t,t,1,District 17,36.12177,-86.7829,207,1,Entire home/apt,12,4 baths,4,NA,"",283,2.33,4.93,4.93,4.81,4.99,4.96,4.94,4.9,,,
3043332,loaded vagabond studio (near opry and downtown),293488,Caitlin,11/20/10,f,2,t,t,2,District 15,36.1641,-86.68415,334,2,Entire home/apt,3,1 bath,1,1,$76.00 ,442,3.76,4.78,4.82,4.78,4.92,4.91,4.81,4.79,,,,
3052313,perfect for family fun!  walk to 12th ave/belmont,16805934,Rachael,6/15/14,t,3,t,t,6,District 18,36.12312,-86.80109,23,3,Entire home/apt,9,3.5 baths,4,5,$472.00 ,29,0.24,5,5,5,5,5,4.97,4.9,,,,
3107569,no svc fee 14bed/3bth 7000sf downtown mansion,15494980,Devon,5/13/14,"",1,t,t,5,District 5,36.19904,-86.76105,257,3,Entire home/apt,12,3 baths,4,NA,"",139,1.17,4.77,4.73,4.48,4.87,4.88,4.54,4.65,,,,
3116713,travelers sunny paradise female  non smkr  plz,812128,Patricia And John,7/12/11,t,9,t,t,19,District 12,36.18885,-86.5917,180,31,Private room,1,1 bath,1,1,$39.00 ,10,0.09,4.7,4.6,4.6,4.9,4.9,4.8,4.7,,,,
3121821,charming private apt. in hip area,14083317,Merrilyn,4/9/14,t,2,t,f,2,District 6,36.18862,-86.73964,224,1,Entire home/apt,2,1 bath,0,1,$122.00 ,1119,9.14,4.94,4.97,4.96,4.98,4.96,4.88,4.9,,,,
3123909,spacious 4br townhouse near downtown,7961115,Blake,8/5/13,t,2,t,t,2,District 19,36.18161,-86.79044,345,2,Entire home/apt,10,2.5 baths,4,NA,"",157,1.29,4.86,4.92,4.88,4.92,4.95,4.85,4.71,,,,
3158038,welcome to 12 south comfort!,5611748,Melissa,3/24/13,t,1,t,t,1,District 17,36.13362,-86.78695,59,2,Entire home/apt,6,3 baths,3,NA,"",50,0.41,4.94,4.86,5,5,4.94,4.94,4.8,,,,
3288576,belmont modern loft guest house,2275056,Debbie,5/2/12,f,5,t,t,8,District 18,36.12465,-86.7947,82,1,Entire home/apt,2,1 bath,1,1,$124.00 ,180,1.88,4.74,4.81,4.67,4.88,4.77,4.96,4.66,,,,
3379848,casual comfort at the hotel not california,17050462,Patrick & Janet,6/20/14,t,1,t,t,1,District 16,36.1232,-86.70996,322,2,Entire home/apt,3,1 bath,1,2,$148.00 ,172,2.07,4.97,4.97,4.97,5,5,4.94,4.94,,,,
3398939,!!downtown condo with great pool and view!! 84,17145199,Brad,6/23/14,f,16,t,t,17,District 19,36.17478,-86.78236,244,1,Entire home/apt,6,1 bath,1,5,$166.00 ,543,4.55,4.78,4.79,4.68,4.95,4.92,4.7,4.75,,,,
3464176,spacious home in cool east nashville - #2019071966,17453866,Alex,6/30/14,t,1,t,t,1,District 5,36.17913,-86.76809,323,2,Entire home/apt,8,2.5 baths,3,NA,"",92,0.76,4.97,4.96,4.87,4.98,4.99,4.58,4.83,,,,
3578360,east nashville & easy bike downtown,11006332,Cp,1/4/14,f,1,t,t,1,District 6,36.16574,-86.74104,365,30,Entire home/apt,4,2 baths,2,NA,"",101,0.84,4.73,4.84,4.62,4.91,4.94,4.88,4.77,,,,
3648549,serene, Cozy Getaway; Lipscomb, Vanderbilt,12South,931636,Debby,8/6/11,f,1,t,t,1,District 25,36.10373,-86.79625,1,2,Entire home/apt,4,1 bath,1,NA,"",141,1.51,4.93,4.95,4.91,4.97,4.97,4.94,4.93,
3686152,12th south dream retreat - family friendly!,15586733,Neal,5/16/14,t,18,t,t,19,District 17,36.12521,-86.78528,310,2,Entire home/apt,10,3 baths,3,5,$366.00 ,283,2.37,4.92,4.91,4.84,4.97,4.98,4.98,4.84,,,,
3694888,unique studio & retro trailer. walk to everything,18816131,Sean,7/24/14,f,1,t,t,1,District 19,36.14959,-86.78881,260,1,Entire home/apt,8,1 bath,1,4,$196.00 ,559,4.87,4.76,4.82,4.74,4.85,4.79,4.82,4.7,,,,
3696753,restrung east nashville condo,18830581,Mike,7/24/14,t,2,t,f,2,District 6,36.17229,-86.75554,125,3,Entire home/apt,6,2 baths,2,3,$152.00 ,403,3.34,4.97,4.98,4.95,4.99,4.99,4.92,4.89,,,,
3703925,charming flat in heart of nashville, Sylvan Park,441439,Angela,3/14/11,f,3,t,t,4,District 24,36.14206,-86.82473,137,1,Entire home/apt,3,1 bath,1,0,$120.00 ,661,5.52,4.76,4.85,4.65,4.93,4.9,4.91,4.72,,,
3710914,cute east nashville cottage 1.5 miles to downtown,10259524,Brady,11/25/13,t,4,t,t,5,District 5,36.18218,-86.77158,0,1,Entire home/apt,6,2 baths,2,3,$160.00 ,847,7.03,4.89,4.94,4.86,4.98,4.98,4.57,4.86,,,,
3742359,five star buena vista east nashville loft,13976860,Connie,4/6/14,t,2,t,t,2,District 6,36.16948,-86.73771,219,3,Entire home/apt,2,1 bath,1,1,$143.00 ,367,3.05,4.93,4.96,4.93,4.92,4.93,4.87,4.88,,,,
3760928,historic suite in east nashville,19112532,Angela,7/29/14,t,1,t,t,1,District 6,36.19183,-86.7427,198,1,Private room,2,1 bath,1,1,$119.00 ,367,3.08,4.95,4.97,4.94,5,4.99,4.92,4.96,,,,
3793659,family home downtown nashville,9633722,Molly,10/25/13,t,2,t,t,4,District 19,36.17184,-86.79209,342,2,Entire home/apt,10,2 baths,4,5,$255.00 ,280,2.54,4.97,4.99,4.92,4.99,4.97,4.88,4.89,,,,
3811909,modern cottage east nashville,11543228,Jess,1/22/14,t,1,t,t,1,District 6,36.18391,-86.72637,49,2,Entire home/apt,2,1 bath,1,1,$107.00 ,402,3.36,4.96,4.95,4.97,4.99,4.99,4.88,4.91,,,,
3867817,"luxury ""shabby chic dollhouse"" home~best location!",19969236,Elizabeth,8/13/14,f,1,t,t,1,District 24,36.12181,-86.84317,265,30,Entire home/apt,5,1.5 baths,2,2,$263.00 ,8,0.07,4.88,5,5,4.88,4.88,4.75,4.25,,,,
3905148,private entry/1895 victorian,19204818,Tom And Wife, Mary,7/31/14,t,1,t,t,1,District 6,36.1734771728516,-86.74029541,292,1,Entire home/apt,2,1 bath,1,1,$115.00 ,625,5.23,4.98,4.99,4.99,4.99,4.99,4.95,4.9,,,
3907104,five points jewel: vintage charm, Modern Comfort,593556,Alece,5/16/11,f,9,t,t,9,District 6,36.175255,-86.75061,280,1,Entire home/apt,4,1 bath,1,2,$187.00 ,235,1.97,4.94,4.93,4.88,4.97,4.97,4.97,4.88,,,
3912357,private entry & bath in the heart of the city.,20264071,Caprisha,8/19/14,t,1,t,t,1,District 19,36.17319,-86.79354,125,1,Private room,3,1 bath,1,2,$106.00 ,415,3.64,4.8,4.83,4.79,4.85,4.87,4.67,4.72,,,,
3952633,stylish condo in trendy 12south,7096686,Meredith,6/24/13,f,2,t,t,2,District 17,36.12558,-86.77773,261,27,Entire home/apt,2,1 bath,1,NA,"",27,0.23,4.93,4.89,4.93,5,5,4.81,4.81,,,,
4033674,modern condo & pool,Downtown Close! BudgetFriendly,14657565,Daphne,4/23/14,f,5,t,t,5,District 17,36.12644,-86.77843,238,1,Entire home/apt,3,1 bath,0,1,$86.00 ,946,8.06,4.63,4.74,4.68,4.93,4.91,4.72,4.67,,,
4047679,1br/1ba music row long-term executive suite,2800334,Kristin,7/1/12,t,2,t,t,2,District 17,36.14261,-86.79371,181,30,Entire home/apt,2,1 bath,1,1,$90.00 ,111,0.94,4.91,4.96,4.95,4.99,4.97,4.9,4.84,,,,
4067086,urban art district abode,9596278,Jacob,10/23/13,t,4,t,t,6,District 17,36.14392,-86.76227,315,1,Entire home/apt,6,1 bath,3,3,$149.00 ,830,6.97,4.69,4.81,4.68,4.96,4.94,4.27,4.71,,,,
4100639,*downtown condo with beautiful river view*,17145199,Brad,6/23/14,f,16,t,t,17,District 19,36.17121,-86.77958,192,1,Entire home/apt,4,1 bath,1,3,$182.00 ,566,4.93,4.72,4.75,4.73,4.91,4.88,4.72,4.7,,,,
4169295,belmont 12th south dream house: top rated home,2275056,Debbie,5/2/12,f,5,t,t,8,District 18,36.12465,-86.79689,326,2,Entire home/apt,12,4.5 baths,5,6,$1,004.00 ,104,0.92,4.88,4.87,4.84,4.96,4.92,4.98,4.75,,,
4178988,award-winning resort cottage,457460890,Chloe,5/4/22,f,11,t,t,11,District 6,36.1748,-86.73808,255,1,Entire home/apt,4,1 bath,1,6,$129.00 ,855,7.25,4.98,4.96,4.98,4.99,4.99,4.96,4.95,,,,
4197716,scandinavian style apartment in heart of east nashville,12122804,Cass And Martin,2/10/14,f,2,t,t,2,District 6,36.18111,-86.73229,172,1,Entire home/apt,4,1 bath,1,1,$106.00 ,695,5.86,4.8,4.88,4.83,4.94,4.88,4.88,4.78,,,,
4227049,east nashville victorian home,7153613,Tammi,6/27/13,f,1,t,t,1,District 6,36.18701,-86.7363,87,7,Entire home/apt,4,2.5 baths,2,NA,"",69,0.59,4.9,4.94,4.86,4.97,5,4.87,4.76,,,,
4252199,big & cozy east nashville retreat,22066344,Katie,10/2/14,t,4,t,t,4,District 5,36.18251,-86.75297,0,2,Entire home/apt,8,3 baths,4,NA,"",395,3.37,4.88,4.91,4.77,4.97,4.98,4.84,4.84,,,,
4275484,the hamilton - in trendy weho + 1.5 mi to broadway,22196890,Donald,10/6/14,f,1,t,t,1,District 17,36.13778,-86.76872,307,3,Entire home/apt,10,2 baths,3,4,$189.00 ,341,3.07,4.67,4.74,4.57,4.87,4.9,4.78,4.69,,,,
4302855,the commodore: upscale summer home near vanderbilt,6675690,Isabeau And Shaun,5/31/13,t,64,t,t,84,District 18,36.1366166710405,-86.81128188,314,2,Entire home/apt,10,2.5 baths,3,6,$327.00 ,188,1.9,4.98,4.99,4.87,4.96,4.97,4.98,4.87,,,,
4303083,the lenore: walk to titans! true home, Big Yard!,6675690,Isabeau And Shaun,5/31/13,t,64,t,t,84,District 6,36.16992,-86.7477,337,2,Entire home/apt,10,2 baths,3,5,$247.00 ,207,2.14,4.91,4.92,4.91,4.91,4.92,4.83,4.86,,,
4351066,nashville modern studio in hip melrose,16587828,Cal,6/9/14,f,4,t,t,5,District 17,36.12679,-86.77831,316,2,Entire home/apt,2,1 bath,1,1,$92.00 ,506,4.29,4.69,4.82,4.66,4.9,4.82,4.8,4.74,,,,
4354794,downtown nashville riverfront condo with pool,15892790,Mark,5/23/14,t,2,t,t,3,District 19,36.17542,-86.78226,137,1,Entire home/apt,5,1 bath,1,5,$168.00 ,451,3.91,4.78,4.85,4.82,4.9,4.89,4.74,4.79,,,,
